Широта;Долгота;Описание;Подпись;Номер
55,75580000;37,61730000;Пушкин Александр Сергеевич - рождение: Москва (1799);Пушкин Александр Сергеевич - рождение;1
59,93430000;30,33510000;Пушкин Александр Сергеевич - смерть: Санкт-Петербург (1837);Пушкин Александр Сергеевич - смерть;2
55,75580000;37,61730000;Лермонтов Михаил Юрьевич - рождение: Москва (1814);Лермонтов Михаил Юрьевич - рождение;3
44,04860000;43,05940000;Лермонтов Михаил Юрьевич - смерть: Пятигорск (1841);Лермонтов Михаил Юрьевич - смерть;4
50,02314000;33,94144000;Гоголь Николай Васильевич - рождение: Великие Сорочинцы (1809);Гоголь Николай Васильевич - рождение;5
55,75580000;37,61730000;Гоголь Николай Васильевич - смерть: Москва (1852);Гоголь Николай Васильевич - смерть;6
55,75580000;37,61730000;Достоевский Фёдор Михайлович - рождение: Москва (1821);Достоевский Фёдор Михайлович - рождение;7
59,93430000;30,33510000;Достоевский Фёдор Михайлович - смерть: Санкт-Петербург (1881);Достоевский Фёдор Михайлович - смерть;8
47,23627000;38,90530000;Чехов Антон Павлович - рождение: Таганрог (1860);Чехов Антон Павлович - рождение;9
47,80200000;7,67200000;Чехов Антон Павлович - смерть: Баденвайлер, Германия (1904);Чехов Антон Павлович - смерть;10
54,07014000;37,52674000;Толстой Лев Николаевич - рождение: Ясная Поляна (1828);Толстой Лев Николаевич - рождение;11
53,21254000;39,44776000;Толстой Лев Николаевич - смерть: пос. Лев Толстой, быв. ст. Астапово (1910);Толстой Лев Николаевич - смерть;12
58,19980000;68,25130000;Менделеев Дмитрий Иванович - рождение: Тобольск (1834);Менделеев Дмитрий Иванович - рождение;13
59,93430000;30,33510000;Менделеев Дмитрий Иванович - смерть: Санкт-Петербург (1907);Менделеев Дмитрий Иванович - смерть;14
54,55186000;40,86524000;Циолковский Константин Эдуардович - рождение: с. Ижевское, Рязанская губерния (1857);Циолковский Константин Эдуардович - рождение;15
54,52930000;36,27540000;Циолковский Константин Эдуардович - смерть: Калуга (1935);Циолковский Константин Эдуардович - смерть;16
48,39840000;9,99155000;Эйнштейн Альберт - рождение: Ульм, Германия (1879);Эйнштейн Альберт - рождение;17
40,34872000;-74,65905000;Эйнштейн Альберт - смерть: Принстон, США (1955);Эйнштейн Альберт - смерть;18
51,50338000;-0,07952000;Фарадей Майкл - рождение: Лондон (1791);Фарадей Майкл - рождение;19
51,40333000;-0,33750000;Фарадей Майкл - смерть: Хэмптон-Корт близ Лондона (1867);Фарадей Майкл - смерть;20
44,56431000;15,31811000;Тесла Никола - рождение: с. Смилян, совр. Хорватия (1856);Тесла Никола - рождение;21
40,71427000;-74,00597000;Тесла Никола - смерть: Нью-Йорк (1943);Тесла Никола - смерть;22
52,22970000;21,01220000;Склодовская-Кюри Мария - рождение: Варшава (1867);Склодовская-Кюри Мария - рождение;23
45,93928000;6,71493000;Склодовская-Кюри Мария - смерть: Санселльмоз, Франция (1934);Склодовская-Кюри Мария - смерть;24
41,91886000;8,73812000;Наполеон Бонапарт - рождение: Аяччо, Корсика (1769);Наполеон Бонапарт - рождение;25
-15,95013000;-5,68307000;Наполеон Бонапарт - смерть: о. Святой Елены, Лонгвуд (1821);Наполеон Бонапарт - смерть;26
41,89193000;12,51133000;Юлий Цезарь - рождение: Рим (100 до н.э.);Юлий Цезарь - рождение;27
41,89193000;12,51133000;Юлий Цезарь - смерть: Рим (44 до н.э.);Юлий Цезарь - смерть;28
55,75580000;37,61730000;Пётр I - рождение: Москва (1672);Пётр I - рождение;29
59,93430000;30,33510000;Пётр I - смерть: Санкт-Петербург (1725);Пётр I - смерть;30
53,42850000;14,55280000;Екатерина II - рождение: Штеттин, совр. Щецин (1729);Екатерина II - рождение;31
59,93430000;30,33510000;Екатерина II - смерть: Санкт-Петербург (1796);Екатерина II - смерть;32
41,98532000;44,11290000;Сталин Иосиф Виссарионович - рождение: Гори, Грузия (1878);Сталин Иосиф Виссарионович - рождение;33
55,75580000;37,61730000;Сталин Иосиф Виссарионович - смерть: Москва (1953);Сталин Иосиф Виссарионович - смерть;34
54,31420000;48,40310000;Ленин Владимир Ильич - рождение: Симбирск, совр. Ульяновск (1870);Ленин Владимир Ильич - рождение;35
55,50450000;37,76503000;Ленин Владимир Ильич - смерть: Горки Ленинские под Москвой (1924);Ленин Владимир Ильич - смерть;36
43,78740000;10,92340000;Леонардо да Винчи - рождение: Винчи, Италия (1452);Леонардо да Винчи - рождение;37
47,40417000;0,98000000;Леонардо да Винчи - смерть: Амбуаз, Франция (1519);Леонардо да Винчи - смерть;38
47,80950000;13,05500000;Моцарт Вольфганг Амадей - рождение: Зальцбург (1756);Моцарт Вольфганг Амадей - рождение;39
48,20820000;16,37380000;Моцарт Вольфганг Амадей - смерть: Вена (1791);Моцарт Вольфганг Амадей - смерть;40
50,98333000;10,31667000;Бах Иоганн Себастьян - рождение: Айзенах (1685);Бах Иоганн Себастьян - рождение;41
51,34033000;12,37475000;Бах Иоганн Себастьян - смерть: Лейпциг (1750);Бах Иоганн Себастьян - смерть;42
51,47110000;4,65590000;Ван Гог Винсент - рождение: Грот-Зюндерт, Нидерланды (1853);Ван Гог Винсент - рождение;43
49,07158000;2,16978000;Ван Гог Винсент - смерть: Овер-сюр-Уаз, Франция (1890);Ван Гог Винсент - смерть;44
36,72130000;-4,42140000;Пикассо Пабло - рождение: Малага, Испания (1881);Пикассо Пабло - рождение;45
43,60060000;6,99420000;Пикассо Пабло - смерть: Мужен, Франция (1973);Пикассо Пабло - смерть;46
50,73399000;7,09981000;Бетховен Людвиг ван - рождение: Бонн (1770);Бетховен Людвиг ван - рождение;47
48,20820000;16,37380000;Бетховен Людвиг ван - смерть: Вена (1827);Бетховен Людвиг ван - смерть;48
44,40560000;8,94630000;Колумб Христофор - рождение: Генуя (1451);Колумб Христофор - рождение;49
41,65230000;-4,72450000;Колумб Христофор - смерть: Вальядолид, Испания (1506);Колумб Христофор - смерть;50
48,44306000;5,67582000;Жанна д'Арк - рождение: Домреми, Франция (1412);Жанна д'Арк - рождение;51
49,44323000;1,09997000;Жанна д'Арк - смерть: Руан, Франция (1431);Жанна д'Арк - смерть;52
37,77493000;-122,41942000;Джобс Стив - рождение: Сан-Франциско (1955);Джобс Стив - рождение;53
37,42917000;-122,13806000;Джобс Стив - смерть: Пало-Альто (2011);Джобс Стив - смерть;54
33,74900000;-84,38800000;Кинг Мартин Лютер - рождение: Атланта (1929);Кинг Мартин Лютер - рождение;55
35,14360000;-89,99370000;Кинг Мартин Лютер - смерть: Мемфис (1968);Кинг Мартин Лютер - смерть;56
21,63915000;69,61216000;Ганди Махатма - рождение: Порбандар, Индия (1869);Ганди Махатма - рождение;57
28,61391000;77,20898000;Ганди Махатма - смерть: Дели (1948);Ганди Махатма - смерть;58
31,20176000;29,91582000;Клеопатра - рождение: Александрия (69 до н.э.);Клеопатра - рождение;59
31,20176000;29,91582000;Клеопатра - смерть: Александрия (30 до н.э.);Клеопатра - смерть;60
